date,region,category,revenue,orders,is_anomaly,anomaly_type
2025-01-01,North,Electronics,13527.76,201,False,
2025-01-01,East,Home & Kitchen,9344.91,186,False,
2025-01-01,South,Apparel,9803.98,188,False,
2025-01-01,North,Sports,14898.22,321,False,
2025-01-01,East,Sports,6495.79,146,False,
2025-01-01,West,Electronics,13319.88,297,False,
2025-01-01,South,Sports,7109.72,117,False,
2025-01-01,East,Apparel,12948.32,296,False,
2025-01-01,East,Groceries,10678.32,264,False,
2025-01-01,West,Apparel,13800.18,253,False,
2025-01-01,North,Home & Kitchen,17767.09,345,False,
2025-01-01,West,Sports,10566.11,193,False,
2025-01-01,West,Home & Kitchen,11012.62,187,False,
2025-01-01,East,Electronics,8899.62,247,False,
2025-01-01,North,Apparel,16620.44,276,False,
2025-01-01,South,Groceries,8652.06,202,False,
2025-01-01,West,Groceries,15222.66,352,False,
2025-01-01,South,Home & Kitchen,10619.64,192,False,
2025-01-01,South,Electronics,10399.61,235,False,
2025-01-01,North,Groceries,15399.65,283,False,
2025-01-02,North,Home & Kitchen,18557.64,423,False,
2025-01-02,North,Groceries,10646.15,206,False,
2025-01-02,South,Home & Kitchen,10661.18,176,False,
2025-01-02,East,Home & Kitchen,8930.95,186,False,
2025-01-02,North,Sports,13373.49,302,False,
2025-01-02,West,Sports,11506.6,299,False,
2025-01-02,West,Home & Kitchen,12302.14,308,False,
2025-01-02,South,Apparel,10042.09,248,False,
2025-01-02,South,Sports,7096.13,135,False,
2025-01-02,West,Apparel,16387.33,380,False,
2025-01-02,East,Electronics,10001.34,237,False,
2025-01-02,North,Apparel,14696.75,276,False,
2025-01-02,West,Electronics,11465.56,262,False,
2025-01-02,South,Groceries,8656.13,130,False,
2025-01-02,North,Electronics,11438.44,200,False,
2025-01-02,East,Groceries,9015.16,158,False,
2025-01-02,West,Groceries,15847.71,389,False,
2025-01-02,East,Sports,7099.51,161,False,
2025-01-02,South,Electronics,11283.32,279,False,
2025-01-02,East,Apparel,11774.9,200,False,
2025-01-03,East,Sports,6149.71,116,False,
2025-01-03,South,Sports,6038.34,88,False,
2025-01-03,North,Groceries,12761.43,238,False,
2025-01-03,West,Electronics,12797.24,243,False,
2025-01-03,South,Electronics,9834.13,210,False,
2025-01-03,South,Home & Kitchen,9483.57,167,False,
2025-01-03,North,Home & Kitchen,18045.51,387,False,
2025-01-03,West,Sports,11377.78,196,False,
2025-01-03,West,Home & Kitchen,11010.33,230,False,
2025-01-03,East,Electronics,12153.1,245,False,
2025-01-03,North,Apparel,16190.14,317,False,
2025-01-03,North,Electronics,12758.42,283,False,
2025-01-03,South,Groceries,8593.08,157,False,
2025-01-03,West,Groceries,14306.64,310,False,
2025-01-03,West,Apparel,13876.49,290,False,
2025-01-03,North,Sports,16179.9,320,False,
2025-01-03,East,Apparel,10220.96,267,False,
2025-01-03,East,Groceries,10972.58,170,False,
2025-01-03,East,Home & Kitchen,8910.26,154,False,
2025-01-03,South,Apparel,7602.82,135,False,
2025-01-04,South,Apparel,11762.02,191,False,
2025-01-04,West,Electronics,13723.19,234,False,
2025-01-04,North,Home & Kitchen,17543.53,301,False,
2025-01-04,East,Home & Kitchen,9497.18,203,False,
2025-01-04,South,Sports,7925.65,159,False,
2025-01-04,South,Home & Kitchen,11062.84,180,False,
2025-01-04,North,Electronics,15614.65,328,False,
2025-01-04,South,Groceries,9748.08,188,False,
2025-01-04,North,Groceries,15489.44,307,False,
2025-01-04,East,Groceries,10038.69,208,False,
2025-01-04,West,Apparel,17776.25,443,False,
2025-01-04,East,Apparel,12326.17,235,False,
2025-01-04,South,Electronics,13839.48,217,False,
2025-01-04,West,Sports,14178.49,280,False,
2025-01-04,North,Apparel,20262.07,356,False,
2025-01-04,West,Groceries,15922.56,352,False,
2025-01-04,West,Home & Kitchen,12374.64,279,False,
2025-01-04,East,Electronics,11307.93,194,False,
2025-01-04,East,Sports,7781.48,159,False,
2025-01-04,North,Sports,20166.76,479,False,
2025-01-05,West,Home & Kitchen,12521.89,208,False,
2025-01-05,South,Sports,7103.94,113,False,
2025-01-05,East,Sports,9120.62,146,False,
2025-01-05,North,Sports,16933.1,248,False,
2025-01-05,South,Groceries,11544.68,195,False,
2025-01-05,South,Home & Kitchen,10897.32,225,False,
2025-01-05,West,Apparel,13584.89,294,False,
2025-01-05,East,Groceries,9634.96,132,False,
2025-01-05,East,Home & Kitchen,10697.46,248,False,
2025-01-05,East,Apparel,13435.45,272,False,
2025-01-05,East,Electronics,11146.85,267,False,
2025-01-05,South,Electronics,12635.07,237,False,
2025-01-05,North,Groceries,14297.44,242,False,
2025-01-05,North,Electronics,15258.1,355,False,
2025-01-05,North,Home & Kitchen,19628.41,437,False,
2025-01-05,West,Sports,13253.26,306,False,
2025-01-05,West,Electronics,12504.06,285,False,
2025-01-05,North,Apparel,20930.93,524,False,
2025-01-05,West,Groceries,14202.67,286,False,
2025-01-05,South,Apparel,11991.27,216,False,
2025-01-06,South,Apparel,9198.86,153,False,
2025-01-06,East,Apparel,10881.02,235,False,
2025-01-06,West,Sports,10125.95,158,False,
2025-01-06,East,Home & Kitchen,8670.53,155,False,
2025-01-06,East,Electronics,9676.52,230,False,
2025-01-06,East,Groceries,11078.25,206,False,
2025-01-06,West,Groceries,13750.58,257,False,
2025-01-06,North,Groceries,12839.48,294,False,
2025-01-06,North,Home & Kitchen,18773.01,410,False,
2025-01-06,West,Apparel,12614.96,234,False,
2025-01-06,South,Home & Kitchen,8206.37,147,False,
2025-01-06,North,Apparel,17875.6,429,False,
2025-01-06,West,Electronics,12552.36,313,False,
2025-01-06,South,Sports,6152.76,123,False,
2025-01-06,South,Groceries,7938.41,157,False,
2025-01-06,South,Electronics,10846.95,234,False,
2025-01-06,East,Sports,7613.71,176,False,
2025-01-06,North,Sports,16358.04,276,False,
2025-01-06,North,Electronics,11814.93,207,False,
2025-01-06,West,Home & Kitchen,10115.45,169,False,
2025-01-07,East,Electronics,9661.86,187,False,
2025-01-07,West,Home & Kitchen,12095.56,260,False,
2025-01-07,South,Home & Kitchen,10371.98,271,False,
2025-01-07,East,Groceries,11206.49,271,False,
2025-01-07,West,Sports,12582.81,215,False,
2025-01-07,North,Home & Kitchen,17804.36,303,False,
2025-01-07,South,Groceries,8790.82,158,False,
2025-01-07,North,Electronics,12614.21,300,False,
2025-01-07,North,Apparel,17408.07,446,False,
2025-01-07,West,Apparel,15816.54,242,False,
2025-01-07,East,Home & Kitchen,8892.24,157,False,
2025-01-07,South,Sports,7372.71,136,False,
2025-01-07,East,Apparel,10869.06,212,False,
2025-01-07,North,Sports,15023.03,310,False,
2025-01-07,West,Groceries,12755.44,252,False,
2025-01-07,South,Electronics,10120.61,208,False,
2025-01-07,North,Groceries,14526.99,307,False,
2025-01-07,East,Sports,6836.66,139,False,
2025-01-07,South,Apparel,9867.34,253,False,
2025-01-07,West,Electronics,12008.07,245,False,
2025-01-08,East,Electronics,10213.06,180,False,
2025-01-08,South,Groceries,9976.57,232,False,
2025-01-08,East,Home & Kitchen,10766.13,269,False,
2025-01-08,West,Home & Kitchen,10705.66,290,False,
2025-01-08,North,Electronics,12652.18,219,False,
2025-01-08,North,Apparel,15144.52,234,False,
2025-01-08,North,Home & Kitchen,17505.58,326,False,
2025-01-08,South,Electronics,9396.57,190,False,
2025-01-08,South,Home & Kitchen,10148.0,186,False,
2025-01-08,West,Sports,12671.42,252,False,
2025-01-08,West,Electronics,10660.64,227,False,
2025-01-08,West,Groceries,15501.73,287,False,
2025-01-08,East,Groceries,11115.35,196,False,
2025-01-08,East,Sports,5830.37,155,False,
2025-01-08,West,Apparel,12326.18,188,False,
2025-01-08,North,Groceries,12881.78,215,False,
2025-01-08,South,Apparel,9059.38,171,False,
2025-01-08,East,Apparel,11548.24,225,False,
2025-01-08,North,Sports,14480.88,336,False,
2025-01-08,South,Sports,6969.73,123,False,
2025-01-09,North,Sports,16271.62,232,False,
2025-01-09,East,Sports,7786.65,140,False,
2025-01-09,South,Electronics,11835.38,225,False,
2025-01-09,South,Apparel,10657.94,175,False,
2025-01-09,East,Home & Kitchen,8919.29,222,False,
2025-01-09,West,Home & Kitchen,9828.17,168,False,
2025-01-09,North,Apparel,15555.09,348,False,
2025-01-09,West,Sports,9903.5,239,False,
2025-01-09,East,Groceries,11577.34,212,False,
2025-01-09,East,Apparel,12759.24,185,False,
2025-01-09,West,Apparel,14407.78,269,False,
2025-01-09,North,Groceries,14876.77,286,False,
2025-01-09,West,Electronics,10476.1,206,False,
2025-01-09,North,Electronics,13363.38,340,False,
2025-01-09,West,Groceries,14427.1,310,False,
2025-01-09,South,Sports,6375.82,148,False,
2025-01-09,South,Home & Kitchen,9369.57,185,False,
2025-01-09,South,Groceries,8177.42,139,False,
2025-01-09,East,Electronics,10663.27,208,False,
2025-01-09,North,Home & Kitchen,16615.07,322,False,
2025-01-10,West,Groceries,15720.7,271,False,
2025-01-10,West,Home & Kitchen,11448.44,211,False,
2025-01-10,East,Groceries,12152.98,222,False,
2025-01-10,North,Apparel,18597.73,293,False,
2025-01-10,North,Sports,15053.59,234,False,
2025-01-10,East,Electronics,11294.58,216,False,
2025-01-10,West,Sports,10053.45,193,False,
2025-01-10,East,Sports,6577.18,127,False,
2025-01-10,East,Home & Kitchen,8015.91,204,False,
2025-01-10,West,Electronics,11438.29,219,False,
2025-01-10,North,Home & Kitchen,17910.34,383,False,
2025-01-10,South,Groceries,9242.66,162,False,
2025-01-10,South,Home & Kitchen,9012.2,242,False,
2025-01-10,South,Sports,7066.13,111,False,
2025-01-10,South,Apparel,9399.22,186,False,
2025-01-10,North,Groceries,13469.79,299,False,
2025-01-10,West,Apparel,16329.94,399,False,
2025-01-10,East,Apparel,11668.08,194,False,
2025-01-10,North,Electronics,13266.54,231,False,
2025-01-10,South,Electronics,10107.55,173,False,
2025-01-11,South,Groceries,9678.59,270,False,
2025-01-11,North,Apparel,18755.67,440,False,
2025-01-11,South,Apparel,10701.17,222,False,
2025-01-11,East,Electronics,13086.01,265,False,
2025-01-11,North,Sports,20230.08,464,False,
2025-01-11,East,Sports,8092.67,140,False,
2025-01-11,South,Electronics,13205.49,294,False,
2025-01-11,West,Electronics,12682.05,211,False,
2025-01-11,South,Sports,8125.69,157,False,
2025-01-11,North,Groceries,16471.69,429,False,
2025-01-11,West,Groceries,17868.96,385,False,
2025-01-11,North,Electronics,14151.56,316,False,
2025-01-11,West,Sports,12804.96,316,False,
2025-01-11,West,Apparel,17615.97,311,False,
2025-01-11,East,Apparel,12238.4,204,False,
2025-01-11,North,Home & Kitchen,19977.72,358,False,
2025-01-11,East,Home & Kitchen,9119.36,184,False,
2025-01-11,West,Home & Kitchen,13655.63,249,False,
2025-01-11,East,Groceries,14310.88,312,False,
2025-01-11,South,Home & Kitchen,9145.64,192,False,
2025-01-12,West,Apparel,16025.68,320,False,
2025-01-12,South,Apparel,11359.62,226,False,
2025-01-12,North,Sports,16546.25,347,False,
2025-01-12,East,Electronics,12628.01,274,False,
2025-01-12,West,Home & Kitchen,13389.24,295,False,
2025-01-12,East,Sports,8178.39,168,False,
2025-01-12,East,Groceries,13526.99,324,False,
2025-01-12,West,Electronics,14087.38,247,False,
2025-01-12,North,Groceries,16339.6,311,False,
